Year,Population
1870,79577
1880,116340
1890,205876
1900,285704
1910,465766
1920,993678
1930,1568662
1940,1623452
1950,1849568
1960,1670144
1970,1511482
1980,1203339
1990,1028700
1991,1021200
1992,1016100
1993,1012700
1994,1008400
1995,1003700
1996,995233
1997,975477
1998,967360
1999,965084
2000,945297
2001,936905
2002,928870
2003,926903
2004,924016
2005,921149
2006,918849
2007,917234
2008,912632
2009,910921
2010,711195
2011,702149
2012,696746
2013,686674
2014,680250
2015,695000
2016,713777
2017,713777
